method,checkpoint,gradient_evaluations,runtime_seconds,loss,step_size,epochs,seed,metadata
SAGA,4,2275,0.0179250829,0.0676306607,0.03,30,0,{}
SAGA,5,2730,0.0223557500,0.0654998081,0.03,30,0,{}
SAGA,6,3185,0.0268146669,0.0628820218,0.03,30,0,{}
SAGA,7,3640,0.0312653750,0.0617717716,0.03,30,0,{}
SAGA,8,4095,0.0367600829,0.0609585972,0.03,30,0,{}
SAGA,9,4550,0.0411901249,0.0603133920,0.03,30,0,{}
SAGA,10,5005,0.0521684999,0.0598299314,0.03,30,0,{}
SAGA,11,5460,0.0591891250,0.0593926413,0.03,30,0,{}
SAGA,12,5915,0.0636389999,0.0590291053,0.03,30,0,{}
SAGA,13,6370,0.0680683330,0.0587160598,0.03,30,0,{}
SAGA,14,6825,0.0725110420,0.0584532231,0.03,30,0,{}
SAGA,15,7280,0.0840640829,0.0582189380,0.03,30,0,{}
SAGA,16,7735,0.0890591670,0.0580217712,0.03,30,0,{}
SAGA,17,8190,0.0933928749,0.0578396884,0.03,30,0,{}
SAGA,18,8645,0.0977318330,0.0576870110,0.03,30,0,{}
SAGA,19,9100,0.1020469170,0.0575463414,0.03,30,0,{}
SAGA,20,9555,0.1095544170,0.0574196092,0.03,30,0,{}
SAGA,21,10010,0.1177317919,0.0573064041,0.03,30,0,{}
SAGA,22,10465,0.1220696250,0.0572044067,0.03,30,0,{}
SAGA,23,10920,0.1263949580,0.0571118828,0.03,30,0,{}
SAGA,24,11375,0.1306952500,0.0570294419,0.03,30,0,{}
SAGA,25,11830,0.1351009170,0.0569535198,0.03,30,0,{}
SAGA,26,12285,0.1394932079,0.0568828179,0.03,30,0,{}
SAGA,27,12740,0.1438255419,0.0568198989,0.03,30,0,{}
SAGA,28,13195,0.1485283750,0.0567603757,0.03,30,0,{}
SAGA,29,13650,0.1529486669,0.0567052453,0.03,30,0,{}
SAGA,30,14105,0.1575528750,0.0566544845,0.03,30,0,{}
