method,seeds,step_size,epochs,mean_final_loss,std_final_loss,mean_runtime_seconds,std_runtime_seconds,mean_gradient_evaluations
SGD,0 1 2,0.03,30,0.0625934339,0.0013355237,0.3878912360,0.0371755058,17070.0
SVRG,0 1 2,0.1,30,0.0598533388,0.0000094993,0.6512827080,0.0297333889,51210.0
